,సినిమా పేరు,దర్శకుడు,నటులు,శైలి,తేదీ,సంవత్సరం,నెల
96,బాల నాగమ్మ,సి. హడావిడి,కాంచనమాల,జానపద సాహిత్యం,1941-01-01,1942,1
97,భక్తే,K. V. రెడ్డి,చిట్టో ఆర్ వి. నా గయా హెచ్,జీవిత చరిత్ర,1941-01-01,1942,1
99,దీన్ స్నేహితుడు,M. L. టాండన్,C. H. నారాయణరావు,నాటకం,1941-01-01,1942,1
100,ఘరానా దొంగ,H. M. రెడ్డి,ఎల్. v. సమర్పణ,నాటకం,1941-01-01,1942,1
101,జీవన ముక్తి,T. V. నీలకంఠన్,పి. సూరిబాబు,భక్తిప్రపత్తులు,1941-01-01,1942,1
102,భార్య,గూడవల్లి రామబ్రహ్మం,కె. ఎస్. ప్రకాశరావు,ఇతిహాసం,1941-01-01,1942,1
103,సత్యభామ,I. V. రావు,I. V. రావు,పురాణశాస్త్రం,1941-01-01,1942,1
105,శాంతా బాల నాగమ్మ,S. V. S. రామారావు,"ఎం. కృష్ణారావు,",జానపద సాహిత్యం,1941-01-01,1942,1
106,సుమతి,ఎ. బి. నాగభూషణం,సి. స్. ర్. ఆంజనేయులు,నాటకం,1941-01-01,1942,1
107,భాగ్యలక్ష్మి,బి. హడావిడి,చిట్టో ఆర్ వి. నా గయా హెచ్,నాటకం,1941-01-01,1943,1
108,భక్త కబీరు,చ. నరసింహారావు,సి. స్. ర్. ఆంజనేయులు,భక్తిప్రపత్తులు,1941-01-01,1943,1
109,చెంచు లక్ష్మి,Ssh. సౌందరరాజన్,C. H. నారాయణరావు,పురాణశాస్త్రం,1941-01-01,1943,1
110,గరుడ గర్వం,ఘంటసాల బలరామయ్య,ప్. భానుమతి,పురాణశాస్త్రం,1941-01-01,1943,1
112,కృష్ణ ప్రేమ,H. V. బాబు,"మే వెంకటేశ్వరరావు,",భక్తిప్రపత్తులు,1941-01-01,1943,1
113,పంతులమ్మ,గూడవల్లి రామబ్రహ్మం,"W. ఉమ్మమహేశ్వరరావు,",నాటకం,1941-01-01,1943,1
114,భర్త భక్తి,P. S. శ్రీనివాసరావు,"బి. ట్. మూర్తి, సుభద్ర, ఎం. సుబ్బా రావు, శాంత దేవి",నాటకం,1941-01-01,1943,1
115,భీష్ముడు,f. నారాయణ మూర్తి,"జంధ్యాల గౌరీనాథ్ శాస్త్రి,",పురాణశాస్త్రం,1941-01-01,1944,1
117,ఒక రోజు రాజు,జ్యోతి సిన్హా,"జంధ్యాల గౌరీనాథ్ శాస్త్రి, పూర్ణిమ",కాదు_నిర్దిష్ట,1941-01-01,1944,1
118,సంసార నారాధి,f. నారాయణ మూర్తి,"మధాలి కృషామూర్తి, భరత్ శాస్త్రి",నాటకం,1941-01-01,1944,1
119,సీతా రామ జననం,ఘంటసాల బలరామయ్య,ఎ. నాగేశ్వరరావు,పురాణశాస్త్రం,1941-01-01,1944,1
120,తహశీల్దార్,I. V. రావు,I. V. రావు,నాటకం,1941-01-01,1944,1
121,మాయా మచింద్ర,సి. హడావిడి,"జంధ్యాల గౌరినాథ సాస్ట్రీ,",పురాణశాస్త్రం,1941-01-01,1945,1
122,మాయలోకం,గూడవల్లి రామబ్రహ్మం,ఎ. నాగేశ్వరరావు,జానపద సాహిత్యం,1941-01-01,1945,1
123,పాదుక పట్టాభిషేకం,ఎ. బి. నాగభూషణం,సి. స్. ర్. ఆంజనేయులు,పురాణశాస్త్రం,1941-01-01,1945,1
124,స్వర్గ సీమ,బి ఎన్ రెడ్డి,చిట్టో ఆర్ వి. నా గయా హెచ్,నాటకం,1941-01-01,1945,1
125,వాల్మీకి,ఎల్లిస్ R. డంగన్,"నరసింహారావు, మణి",జీవిత చరిత్ర,1941-01-01,1945,1
126,ఆదర్శం,H. V. బాబు,జగ్గయ్య,సామాజిక,1941-01-01,1952,1
127,ఆకలి,K. J. మోహన్ రావు,తిక్కురిస్సి సుకుమారన్ నాయర్,సామాజిక,1941-01-01,1952,1
128,అతిన్తి కాపురం,ఆచార్య,M. N. నంబియార్,నాటకం,1941-01-01,1952,1
129,చిన్న కోడలు,ఘంటసాల బలరామయ్య,C. H. నారాయణరావు,సామాజిక,1941-01-01,1952,1
130,చిన్నమ్మ కథ,S. V. S. రామారావు,గోవిందరాజుల సుబ్బారావు,సామాజిక,1941-01-01,1952,1
131,అంతే,ఎల్. v. సమర్పణ,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1952,1
132,ధర్మ దేవత,బి. హడావిడి,ప్. శాంతకుమారి,నాటకం,1941-01-01,1952,1
133,కాంచన,స్. ఎం. శ్రీరాములు నాయుడు,కె. ఆర్. రామస్వామి,సామాజిక,1941-01-01,1952,1
134,మానవతావాది,I. V. రావు,C. H. నారాయణరావు,భక్తిప్రపత్తులు,1941-01-01,1952,1
135,మరదలు పెళ్లి,ముక్కామల్,ముక్కామల్,నాటకం,1941-01-01,1952,1
136,ముగ్గురు కొడుకులు,ఆర్. నాగేంద్రరావు,M.K. రాధ,సామాజిక,1941-01-01,1952,1
137,పల్లెటూరు,టి.ప్రకాశరావు,ఎన్.టి.రామారావు,సామాజిక,1941-01-01,1952,1
138,పేద రైతు,ఎ. బి. నాగభూషణం,"ఎం. శ్రీరామ మూర్తి,",నాటకం,1941-01-01,1952,1
139,పెళ్లి చేసి చూడు,ఎల్. v. సమర్పణ,ఎన్.టి.రామారావు,సామాజిక,1941-01-01,1952,1
140,ప్రజా సేవ,ఎ. ప్రభాకర్ రావు,సి.లక్ష్మీరాజ్యం,నాటకం,1941-01-01,1952,1
141,ప్రకారం,P. S. రామకృష్ణారావు,ఎ. నాగేశ్వరరావు,నాటకం,1941-01-01,1952,1
142,ప్రియురాలు,ట్. గోపీచంద్,"లక్ష్మీకాంతం,",నాటకం,1941-01-01,1952,1
143,రాజేశ్వరి,ఆర్. పద్మనాభన్,"ఎం. శ్రీరామ మూర్తి,",జానపద సాహిత్యం,1941-01-01,1952,1
144,సాహసం,మీర్జాపూర్ రాజు,"ప్రభాకర్ రావు,",జానపద సాహిత్యం,1941-01-01,1952,1
145,సంక్రాంతి,సి. హడావిడి,"చంద్రశేఖర్,",నాటకం,1941-01-01,1952,1
146,శాంతి,వేదాంతం రాఘవ,గోవిందరాజుల సుబ్బారావు,నాటకం,1941-01-01,1952,1
147,సవతి పోరు,T. R. సుందరం,"జి. ముత్తుకృష్ణన్,",ఇతిహాసం,1941-01-01,1952,1
148,ఇష్టం,T. R. రఘునాథ్,T. R. రామచంద్రన్,నాటకం,1941-01-01,1952,1
149,బంగారు మలం,కె. సదాశివ రావు,"ఆరణి సూర్యనారాయణ, సురభి హదరస్వతి",నాటకం,1941-01-01,1952,1
150,చింగ్ కాలమ్,బి. ఎ. సుబ్బారావు,"ఎం. శ్రీరామ మూర్తి,",నాటకం,1941-01-01,1952,1
151,అది పడింది,ఎర్రా అప్పారావు,ఆర్.నాగేశ్వరరావు,నాటకం,1941-01-01,1955,1
152,అనార్కలి,వేదాంతం రాఘవ,అక్కినేని నాగేశ్వర రావు,చారిత్రక,1941-01-01,1955,1
153,అంతా ఇంతే,ఆర్. m. కృష్ణసామి,శివాజీ గణేశన్,కాదు_నిర్దిష్ట,1941-01-01,1955,1
154,అంటే కావలి,కె. ఎస్. ప్రకాశరావు,జగ్గయ్య,నాటకం,1941-01-01,1955,1
155,సగం మనిషి,బి. హడావిడి,సావిత్రి,నాటకం,1941-01-01,1955,1
156,అతను ఎవరు,ఆంటోనీ మిత్రదాస్,తిరుగుట శకునము,కాదు_నిర్దిష్ట,1941-01-01,1955,1
157,బంగారు పాపా,బి. n. సంతృప్తి చెందారు,S. V. రంగారావు,నాటకం,1941-01-01,1955,1
158,బీదల ఆస్తి,డి. లో రామచందర్,గమ్ మండి,నాటకం,1941-01-01,1955,1
159,చెరపకురా చెడేవు,కె. భాస్కర్ రావు,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1955,1
160,దొంగ రాముడు,కె. వి. రెడ్డి,అక్కినేని నాగేశ్వర రావు,నాటకం,1941-01-01,1955,1
161,జైసింహ,డి. యోగానంద్,ఎన్.టి.రామారావు,చారిత్రక,1941-01-01,1955,1
162,కన్యాధానం,బి. విఠలాచార్య,కాటు లావో,చారిత్రక,1941-01-01,1955,1
163,కన్యాశుక్యం,బి. హడావిడి,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1955,1
164,మిస్సమ్మ,ఎల్. v. సమర్పణ,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1955,1
165,పసుపు కుంకుమ,జి. డి. జోషి,c. వరలక్ష్మి,నాటకం,1941-01-01,1955,1
166,పతియే ప్రత్యక్ష దైవం,T. R. రఘునాథ్,జైమిని గణేశన్,కాదు_నిర్దిష్ట,1941-01-01,1955,1
167,రోజులు మారాయి,కానీ చాణక్యుడు,అక్కినేని నాగేశ్వర రావు,నాటకం,1941-01-01,1955,1
168,సంతానం,సి.వి.రంగనాథ దాసు,అక్కినేని నాగేశ్వర రావు,నాటకం,1941-01-01,1955,1
169,సంతోషం,సిపి అన్నారు,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1955,1
170,శ్రీ జగన్నాథ మహాత్యము,కాటూరి మోహనరావు,"శ్రీనాధ్, వై. జోగారావు, వంగర, ప్రయాగ, సరితా, జానకి, ఆ. కమలా దేవి ఎత్చ్",కాదు_నిర్దిష్ట,1941-01-01,1955,1
171,శ్రీ కృష్ణ తులాబారం,C. S. రావు,ఎ. రఘురామయ్య,చారిత్రక,1941-01-01,1955,1
172,వదిన,M. V. రామన్,అక్కినేని నాగేశ్వర రావు,నాటకం,1941-01-01,1955,1
173,వదిన గారి గాజులు,రజనీకాంత్,అంజలీ దేవి,నాటకం,1941-01-01,1955,1
174,విజయ గౌరి,డి. యోగానంద్,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1955,1
175,అలీబాబా 40 డోమ్స్,T. R. సుందరం,M. G. రామచంద్రన్,జానపద సాహిత్యం,1941-01-01,1956,1
176,అమర దీపం,టి.ప్రకాశరావు,శివాజీ గణేశన్,శృంగారం,1941-01-01,1956,1
177,అమరజీవి,టి.ప్రకాశరావు,శివాజీ గణేశన్,కాదు_నిర్దిష్ట,1941-01-01,1956,1
178,అష్టైశ్వర్యాలు,E. S. N. మూర్తి,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1956,1
179,ఉపయోగపడే కథ,పి. సుబ్బారావు,జగ్గయ్య,నాటకం,1941-01-01,1956,1
181,భలే రాముడు,వేదాంతం రాఘవ,అక్కినేని నాగేశ్వర రావు,నాటకం,1941-01-01,1956,1
183,చరన దాసీ,టి.ప్రకాశరావు,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1956,1
185,చిరంజీవులు,వేదాంతం రాఘవ,ఎన్.టి.రామారావు,"నాటకం, సంగీత",1941-01-01,1956,1
186,ఏది నిజం,స్. బాలచందర్,నాగభూషణం,నాటకం,1941-01-01,1956,1
188,ఇలవేల్పు,డి. యోగానంద్,అక్కినేని నాగేశ్వర రావు,శృంగారం,1941-01-01,1956,1
189,జయం మనదే,టి.ప్రకాశరావు,ఎన్.టి.రామారావు,జానపద సాహిత్యం,1941-01-01,1956,1
191,మేలుకొలుపు,కె. ఎస్. ప్రకాశరావు,జమున,నాటకం,1941-01-01,1956,1
192,ముద్దు బిడ్డ,కె. బి. తిలక్,జగ్గయ్య,నాటకం,1941-01-01,1956,1
193,నాగ దేవత,కె. శంకర్,ఆర్. నాగేంద్రరావు,ఫాంటసీ,1941-01-01,1956,1
194,నాగ పంచమి,ఎ. నాగభూషణం,అంజలీ దేవి,ఫాంటసీ,1941-01-01,1956,1
195,నాగుల చవితి,చిత్రపు నారాయణ రావు,సౌకార్ జానకి,"ఫాంటసీ, మ్యూజికల్",1941-01-01,1956,1
196,జనపనార పెళ్ళాం,కమలాకర కామేశ్వరరావు,ఎన్.టి.రామారావు,"డ్రామా, కామెడీ",1941-01-01,1956,1
197,రాక్ మరియు ఇతరులు.,కృష్ణన్ - పంజు,M. R. రాధ,కాదు_నిర్దిష్ట,1941-01-01,1956,1
198,షాక్,కె. ఆర్. సీతారామ శాస్త్రి,అక్కినేని నాగేశ్వర రావు,జానపద సాహిత్యం,1941-01-01,1956,1
199,సహస వీరుడు,డి. యోగానంద్,M. G. రామచంద్రన్,కాదు_నిర్దిష్ట,1941-01-01,1956,1
200,సొంత ఓరు,E. S. N. మూర్తి,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1956,1
201,శ్రీ గౌరి మహత్యం,డి. యోగానంద్,ఎన్.టి.రామారావు,జానపద సాహిత్యం,1941-01-01,1956,1
203,ఉమ అందంగా ఉంది,బి. హడావిడి,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1956,1
204,చట్టం లగ్జరీ,f. నారాయణ మూర్తి,శివాజీ గణేశన్,కాదు_నిర్దిష్ట,1941-01-01,1956,1
205,అక్క చెల్లెలు,అమానుల్లా సార్వత్రిక,"అమర్‌నాథ్,",నాటకం,1941-01-01,1957,1
206,అల్లావుద్దీన్ అద్భుత దీపం,T. R. రఘునాథ్,అక్కినేని నాగేశ్వర రావు,జానపద సాహిత్యం,1941-01-01,1957,1
207,విధి రేఖ,బి ఎన్ రెడ్డి,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1957,1
208,భలే అమ్మాయిలు,వేదాంతం రాఘవ,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1957,1
209,భలే బావ,రజనీకాంత్,జగ్గయ్య,కామెడీ డ్రామా,1941-01-01,1957,1
210,దాంపత్యం,ఇ. అప్పారావు,c. వరలక్ష్మి,కామెడీ డ్రామా,1941-01-01,1957,1
211,దొంగల్లో డోరా,పి. చెంగయ్య,అక్కినేని నాగేశ్వర రావు,నాటకం,1941-01-01,1957,1
212,ఎవరి అబ్బాయి,T. R. రఘునాథ్,జైమిని గణేశన్,కాదు_నిర్దిష్ట,1941-01-01,1957,1
213,గంధర్వ అమ్మాయి,డి. శంకర్ సింగ్,"ఇందు శేఖర్, రేవతి, హరిణి, రేలంగి, రాజా సులోచనా, ఎత్చ్.",కాదు_నిర్దిష్ట,1941-01-01,1957,1
214,కుటుంబ గౌరవం,B. S. డిగ్రీ,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1957,1
