,Title/సినిమా పేరు,Director/దర్శకుడు,Cast/నటులు,Genre/శైలి,Date/తేదీ,Year/సంవత్సరం,Month/నెల,Language/భాష,Soup/సూప్
11,భక్త కుచేల,కె.సదాశివరావు,ఎ.రఘురామయ్య,భక్తిప్రపత్తులు,1935-07-20,1935,7,తెలుగు,కె.సదాశివరావు  ఎ.రఘురామయ్య  భక్తిప్రపత్తులు  1935-07-20  1935  తెలుగు
12,హరిశ్చంద్రుడు,t.a.రామన్,"అదంకిశ్రీరామమూర్తి,",భక్తిప్రపత్తులు,1935-11-09,1935,11,తెలుగు,"t.a.రామన్  అదంకిశ్రీరామమూర్తి,  భక్తిప్రపత్తులు  1935-11-09  1935  తెలుగు"
13,సతీ అనసూయ,చౌదరిఇక్కడ,"దాసరికోటరత్నం,తుంగలచలపతి",భక్తిప్రపత్తులు,1935-11-09,1935,11,తెలుగు,"చౌదరిఇక్కడ  దాసరికోటరత్నం,తుంగలచలపతి  భక్తిప్రపత్తులు  1935-11-09  1935  తెలుగు"
14,సాచి సక్ బై,చారురాయ్,"తుంగలచలపతిరావు,దాసరికోటిరత్నం,సురవరపువెంకటేశ్వరులు,దాసరిఅంజనిబై",భక్తిప్రపత్తులు,1935-05-21,21may1935,5,తెలుగు,"చారురాయ్  తుంగలచలపతిరావు,దాసరికోటిరత్నం,సురవరపువెంకటేశ్వరులు,దాసరిఅంజనిబై  భక్తిప్రపత్తులు  1935-05-21  21may1935  తెలుగు"
15,శ్రీ కృష్ణ లీలలు,సి.నరసింహారావు,ఎస్.రాజేశ్వరరావు,కాదు_నిర్దిష్ట,1935-11-30,1935,11,తెలుగు,సి.నరసింహారావు  ఎస్.రాజేశ్వరరావు  కాదు_నిర్దిష్ట  1935-11-30  1935  తెలుగు
16,శ్రీ కృష్ణ తుల్బహారం,సి.హడావిడి,"రామనాథ్శాస్త్రికపిలవాయి,",భక్తిప్రపత్తులు,1935-04-22,1935,4,తెలుగు,"సి.హడావిడి  రామనాథ్శాస్త్రికపిలవాయి,  భక్తిప్రపత్తులు  1935-04-22  1935  తెలుగు"
17,ధ్రువ (అల్సొ నోన్ అస్ దృవ విజయము),సి.హడావిడి,"సి.నారాయణస్వామి,ట్.వెంకటేశ్వరులు,ఎం.హేమలత,సీతారాం,ఎం.రంగాచారి,ఆ.నరసింహారావు,లలిత",పురాణశాస్త్రం,1935-04-22,1935,4,తెలుగు,"సి.హడావిడి  సి.నారాయణస్వామి,ట్.వెంకటేశ్వరులు,ఎం.హేమలత,సీతారాం,ఎం.రంగాచారి,ఆ.నరసింహారావు,లలిత  పురాణశాస్త్రం  1935-04-22  1935  తెలుగు"
18,ద్రూపడి మానసంరక్షణ,లేదా.స్వయంగాజగననాథుడు,బళ్లారిరాఘవ,పురాణశాస్త్రం,1936-03-24,1936,3,తెలుగు,లేదా.స్వయంగాజగననాథుడు  బళ్లారిరాఘవ  పురాణశాస్త్రం  1936-03-24  1936  తెలుగు
19,ద్రౌపది దుస్తులు,h.విశ్వనాథ్బాబు,యడవల్లిసూర్యనారాయణ,పురాణశాస్త్రం,1936-02-29,1936,2,తెలుగు,h.విశ్వనాథ్బాబు  యడవల్లిసూర్యనారాయణ  పురాణశాస్త్రం  1936-02-29  1936  తెలుగు
20,లంకా దహనం,కె.సదాశివరావు,ఎ.రఘురామయ్య,పురాణశాస్త్రం,1936-02-05,1936,2,తెలుగు,కె.సదాశివరావు  ఎ.రఘురామయ్య  పురాణశాస్త్రం  1936-02-05  1936  తెలుగు
21,మాయాబజార్ (అల్సొ నోన్ అస్ శశిరేఖ పరిణయం),పి.వి.ఆ,"యడవల్లినాగేశ్వరరావు,",పురాణశాస్త్రం,1936-02-05,1936,2,తెలుగు,"పి.వి.ఆ  యడవల్లినాగేశ్వరరావు,  పురాణశాస్త్రం  1936-02-05  1936  తెలుగు"
22,ప్రేమవిజయం,కృత్తివెంటినాగేశ్వరరావు,"రంగారో,పి.ఎస్.శర్మ,బి.రాజలక్ష్మ,పి.రామారావు,",కాదు_నిర్దిష్ట,1936-02-05,1936,2,తెలుగు,"కృత్తివెంటినాగేశ్వరరావు  రంగారో,పి.ఎస్.శర్మ,బి.రాజలక్ష్మ,పి.రామారావు,  కాదు_నిర్దిష్ట  1936-02-05  1936  తెలుగు"
23,సంపూర్ణ రామాయణం,"ఐ.నాగభూషణరావు,ఎన్.బి.నారాయణ","బి.నారాయణమూర్తి,ఎం.నారాయణరావు,",భక్తిప్రపత్తులు,1936-02-05,1936,2,తెలుగు,"ఐ.నాగభూషణరావు,ఎన్.బి.నారాయణ  బి.నారాయణమూర్తి,ఎం.నారాయణరావు,  భక్తిప్రపత్తులు  1936-02-05  1936  తెలుగు"
24,సతీ తులసి,సి.నరసింహారావు,ఘంటసాలబలరామయ్య,పురాణశాస్త్రం,1936-02-05,1936,2,తెలుగు,సి.నరసింహారావు  ఘంటసాలబలరామయ్య  పురాణశాస్త్రం  1936-02-05  1936  తెలుగు
25,వీరాభిమన్యు,v.d.అమీన్,కాంచనమాల,పురాణశాస్త్రం,1936-02-05,1936,2,తెలుగు,v.d.అమీన్  కాంచనమాల  పురాణశాస్త్రం  1936-02-05  1936  తెలుగు
26,బాలయోగిని,ఎ.సుబ్రహ్మణ్యం,బేబీసరోజ,నాటకం,1936-02-05,1936,2,తెలుగు,ఎ.సుబ్రహ్మణ్యం  బేబీసరోజ  నాటకం  1936-02-05  1936  తెలుగు
27,దశావతారములు,కె.w.ధరవద్ద,"పారేపల్లిసుబ్బారావు,మందసుబ్బారావు,ద్రోణంరాజునరసింహారావు,తీగెలవెంకటేశ్వర్లు,కోడేరురజసోదరులు,దొమ్మితిసత్యనారాయణ",పురాణశాస్త్రం,1937-09-27,1937,9,తెలుగు,"కె.w.ధరవద్ద  పారేపల్లిసుబ్బారావు,మందసుబ్బారావు,ద్రోణంరాజునరసింహారావు,తీగెలవెంకటేశ్వర్లు,కోడేరురజసోదరులు,దొమ్మితిసత్యనారాయణ  పురాణశాస్త్రం  1937-09-27  1937  తెలుగు"
28,కెనడా,h.విశ్వనాథ్బాబు,"దొమ్మాటిసూర్యనారాయణ,",శృంగారం,1937-09-27,1937,9,తెలుగు,"h.విశ్వనాథ్బాబు  దొమ్మాటిసూర్యనారాయణ,  శృంగారం  1937-09-27  1937  తెలుగు"
29,మోహినీ రుక్మాంగద్,సి.నరసింహారావు,వేమూరిగగ్గయ్య,పురాణశాస్త్రం,1937-09-27,1937,9,తెలుగు,సి.నరసింహారావు  వేమూరిగగ్గయ్య  పురాణశాస్త్రం  1937-09-27  1937  తెలుగు
30,నైరా నారాయణ,సి.నరసింహారావు,"అదంకిశ్రీరామమూర్తి,ప్.రామతిలకం,పులిపాటివెంకటేశ్వర్లు",భక్తిప్రపత్తులు,1937-09-27,1937,9,తెలుగు,"సి.నరసింహారావు  అదంకిశ్రీరామమూర్తి,ప్.రామతిలకం,పులిపాటివెంకటేశ్వర్లు  భక్తిప్రపత్తులు  1937-09-27  1937  తెలుగు"
31,రుక్మిణీ కళ్యాణం,ఆర్.నటరాజముదలియార్,ఎ.రఘురామయ్య,భక్తిప్రపత్తులు,1937-09-27,1937,9,తెలుగు,ఆర్.నటరాజముదలియార్  ఎ.రఘురామయ్య  భక్తిప్రపత్తులు  1937-09-27  1937  తెలుగు
32,సారంగధర్,బి.హడావిడి,బండాకనకలింగేశ్వరరావు,భక్తిప్రపత్తులు,1937-09-27,1937,9,తెలుగు,బి.హడావిడి  బండాకనకలింగేశ్వరరావు  భక్తిప్రపత్తులు  1937-09-27  1937  తెలుగు
33,విప్ర నారాయణ,అహింద్రచౌదరి,"కస్తూరినరసింహారావు,",భక్తిప్రపత్తులు,1937-09-27,1937,9,తెలుగు,"అహింద్రచౌదరి  కస్తూరినరసింహారావు,  భక్తిప్రపత్తులు  1937-09-27  1937  తెలుగు"
34,భక్త జయదేవ్,ఆమెబోస్,సురభికమలాబాయి,భక్తిప్రపత్తులు,1937-09-27,1937,9,తెలుగు,ఆమెబోస్  సురభికమలాబాయి  భక్తిప్రపత్తులు  1937-09-27  1937  తెలుగు
35,భక్త మార్కండేయ,సి.నారాయణమూర్తి,వేమూరిగగ్గయ్య,భక్తిప్రపత్తులు,1938-06-17,1938,6,తెలుగు,సి.నారాయణమూర్తి  వేమూరిగగ్గయ్య  భక్తిప్రపత్తులు  1938-06-17  1938  తెలుగు
36,చల్ మోహన రంగా,సి.హడావిడి,"వల్లిసుబ్బారావు,",నాటకం,1938-01-12,1938,1,తెలుగు,"సి.హడావిడి  వల్లిసుబ్బారావు,  నాటకం  1938-01-12  1938  తెలుగు"
37,చిత్రనళీయం,డి.రామిరెడ్డి,బండాకనకలింగేశ్వరరావు,పురాణశాస్త్రం,1938-01-12,1938,1,తెలుగు,డి.రామిరెడ్డి  బండాకనకలింగేశ్వరరావు  పురాణశాస్త్రం  1938-01-12  1938  తెలుగు
38,గృహలక్ష్మి,h.m.రెడ్డి,వ్.నాగయ్య,నాటకం,1938-03-12,1938,3,తెలుగు,h.m.రెడ్డి  వ్.నాగయ్య  నాటకం  1938-03-12  1938  తెలుగు
39,గులేబకావలి,దొంగసదాశివరావు,బి.జయమ్మ,ఫాంటసీ,1938-03-12,1938,3,తెలుగు,దొంగసదాశివరావు  బి.జయమ్మ  ఫాంటసీ  1938-03-12  1938  తెలుగు
40,కచ దేవయాని,సి.ద్రోణంరాజు,"స్.ప్.లక్ష్మణస్వామి,సి.కృష్ణవేణి,సి.సూర్యనారాయణభాగవతార్,ర్.రమిరెడ్డి,కే.రఘురామయ్య",పురాణశాస్త్రం,1938-03-12,1938,3,తెలుగు,"సి.ద్రోణంరాజు  స్.ప్.లక్ష్మణస్వామి,సి.కృష్ణవేణి,సి.సూర్యనారాయణభాగవతార్,ర్.రమిరెడ్డి,కే.రఘురామయ్య  పురాణశాస్త్రం  1938-03-12  1938  తెలుగు"
41,కాసుల పేరు,సి.హడావిడి,"కే.హనుమంతరావు,సుందరమ్మ,శ్రీహరి,తులసమ్మ",నాటకం,1938-01-12,1938,1,తెలుగు,"సి.హడావిడి  కే.హనుమంతరావు,సుందరమ్మ,శ్రీహరి,తులసమ్మ  నాటకం  1938-01-12  1938  తెలుగు"
42,కృష్ణ జరాసంధ,సి.నరసింహారావు,"టి.రామకృష్ణశాస్త్రి,",పురాణశాస్త్రం,1938-01-12,1938,1,తెలుగు,"సి.నరసింహారావు  టి.రామకృష్ణశాస్త్రి,  పురాణశాస్త్రం  1938-01-12  1938  తెలుగు"
43,చెడు twerk,గూడవల్లిరామబ్రహ్మం,గోవిందరాజులసుబ్బారావు,సామాజిక,1938-09-25,1938,9,తెలుగు,గూడవల్లిరామబ్రహ్మం  గోవిందరాజులసుబ్బారావు  సామాజిక  1938-09-25  1938  తెలుగు
44,మోహినీ బస్మాసుర,సి.హడావిడి,పుష్పవల్లి,భక్తిప్రపత్తులు,1938-09-25,1938,9,తెలుగు,సి.హడావిడి  పుష్పవల్లి  భక్తిప్రపత్తులు  1938-09-25  1938  తెలుగు
45,సత్యనారాయణ వ్రతం,సి.హడావిడి,"కామరాజు,దేవరకొండరామూర్తి,హైమావతి,లష్మినరసమ్మ",నాటకం,1938-01-12,1938,1,తెలుగు,"సి.హడావిడి  కామరాజు,దేవరకొండరామూర్తి,హైమావతి,లష్మినరసమ్మ  నాటకం  1938-01-12  1938  తెలుగు"
46,తుకారాం,బి.నారాయణరావు,సి.స్.ర్.ఆంజనేయులు,నాటకం,1938-01-12,1938,1,తెలుగు,బి.నారాయణరావు  సి.స్.ర్.ఆంజనేయులు  నాటకం  1938-01-12  1938  తెలుగు
47,జయప్రద,చ.నరసింహారావు,సి.స్.ర్.ఆంజనేయులు,భక్తిప్రపత్తులు,1938-01-12,1938,1,తెలుగు,చ.నరసింహారావు  సి.స్.ర్.ఆంజనేయులు  భక్తిప్రపత్తులు  1938-01-12  1938  తెలుగు
48,మహానంద,చినకామేశ్వరరావుద్రోణమరాజు,"అదంకిశ్రీరామమూర్తి,పారేపల్లిసుబ్బారావు,",భక్తిప్రపత్తులు,1938-01-12,1938,1,తెలుగు,"చినకామేశ్వరరావుద్రోణమరాజు  అదంకిశ్రీరామమూర్తి,పారేపల్లిసుబ్బారావు,  భక్తిప్రపత్తులు  1938-01-12  1938  తెలుగు"
49,తోలు వస్తువులు,i.v.రావు,i.v.రావు,సామాజిక,1938-01-12,1938,1,తెలుగు,i.v.రావు  i.v.రావు  సామాజిక  1938-01-12  1938  తెలుగు
50,బాండురంగ వదిలేస్తే,బి.v.రామానందం,"పంచాంగంరామానుజాచార్య,ట్.చలపతిరావు,దాసరికోటిరత్నం,డ్.సత్యనారాయణ,కాంతామణి",భక్తిప్రపత్తులు,1938-01-12,1938,1,తెలుగు,"బి.v.రామానందం  పంచాంగంరామానుజాచార్య,ట్.చలపతిరావు,దాసరికోటిరత్నం,డ్.సత్యనారాయణ,కాంతామణి  భక్తిప్రపత్తులు  1938-01-12  1938  తెలుగు"
51,పాశుపతాస్త్రం,కె.రంగారావు,ఎ.రఘురామయ్య,భక్తిప్రపత్తులు,1938-01-12,1938,1,తెలుగు,కె.రంగారావు  ఎ.రఘురామయ్య  భక్తిప్రపత్తులు  1938-01-12  1938  తెలుగు
52,మాతృ భూమి,h.m.రెడ్డి,ప్.యూ.చిన్నప్ప,నాటకం,1938-01-12,1938,1,తెలుగు,h.m.రెడ్డి  ప్.యూ.చిన్నప్ప  నాటకం  1938-01-12  1938  తెలుగు
53,రైతు పడిపోయాడు,గూడవల్లిరామబ్రహ్మం,బళ్లారిరాఘవ,సామాజిక,1939-08-27,1939,8,తెలుగు,గూడవల్లిరామబ్రహ్మం  బళ్లారిరాఘవ  సామాజిక  1939-08-27  1939  తెలుగు
54,శ్రీ వెంకటేశ్వర మహత్యం,బి.హడావిడి,సి.స్.ర్.ఆంజనేయులు,భక్తిప్రపత్తులు,1939-08-27,1939,8,తెలుగు,బి.హడావిడి  సి.స్.ర్.ఆంజనేయులు  భక్తిప్రపత్తులు  1939-08-27  1939  తెలుగు
55,"నేను నీకు నమస్కరిస్తున్నాను, తల్లీ",బిఎన్రెడ్డి,వ్.నాగయ్య,సామాజిక,1939-08-27,1939,8,తెలుగు,బిఎన్రెడ్డి  వ్.నాగయ్య  సామాజిక  1939-08-27  1939  తెలుగు
56,వర వికాసం,సి.హడావిడి,పుష్పవల్లి,సామాజిక,1939-08-27,1939,8,తెలుగు,సి.హడావిడి  పుష్పవల్లి  సామాజిక  1939-08-27  1939  తెలుగు
57,బారిస్టర్ పార్వతీశరణ్,ఆర్.కాంతి,"లంకాసత్యం,",హాస్యం,1940-01-01,1940,1,తెలుగు,"ఆర్.కాంతి  లంకాసత్యం,  హాస్యం  1940-01-01  1940  తెలుగు"
58,భోజ కాళిదాసు,h.v.బాబు,"అదంకిశ్రీరామమూర్తి,పారేపల్లిసుబ్బారావు,",పురాణశాస్త్రం,1940-01-01,1940,1,తెలుగు,"h.v.బాబు  అదంకిశ్రీరామమూర్తి,పారేపల్లిసుబ్బారావు,  పురాణశాస్త్రం  1940-01-01  1940  తెలుగు"
59,భూకంపం,సుందర్రావ్నాదకర్ణి,m.v.సుబ్బయ్యనాయుడు,భక్తిప్రపత్తులు,1940-01-01,1940,1,తెలుగు,సుందర్రావ్నాదకర్ణి  m.v.సుబ్బయ్యనాయుడు  భక్తిప్రపత్తులు  1940-01-01  1940  తెలుగు
60,బొండం పెళ్లి,h.m.రెడ్డి,ఎల్.v.సమర్పణ,హాస్యం,1940-01-01,1940,1,తెలుగు,h.m.రెడ్డి  ఎల్.v.సమర్పణ  హాస్యం  1940-01-01  1940  తెలుగు
61,చదువుకున్న భార్య,h.m.రెడ్డి,"లంకాసత్యం,",హాస్యం,1940-01-01,1940,1,తెలుగు,"h.m.రెడ్డి  లంకాసత్యం,  హాస్యం  1940-01-01  1940  తెలుగు"
62,చండికా,ఆర్.ఎస్.కాంతి,ప్.కన్నాంబ,సాహసం,1940-01-01,1940,1,తెలుగు,ఆర్.ఎస్.కాంతి  ప్.కన్నాంబ  సాహసం  1940-01-01  1940  తెలుగు
63,ఇల్లాలు,గూడవల్లిరామబ్రహ్మం,"w.ఉమ్మమహేశ్వరరావు,",కుటుంబం,1940-01-01,1940,1,తెలుగు,"గూడవల్లిరామబ్రహ్మం  w.ఉమ్మమహేశ్వరరావు,  కుటుంబం  1940-01-01  1940  తెలుగు"
64,జీవన జ్యోతి,చినకామేశ్వరరావుద్రోణమరాజు,"చ.నారాయణరావు,",నాటకం,1940-01-01,1940,1,తెలుగు,"చినకామేశ్వరరావుద్రోణమరాజు  చ.నారాయణరావు,  నాటకం  1940-01-01  1940  తెలుగు"
65,కాలచక్ర,ఆమంచర్లగోపాలరావు,బండాకనకలింగేశ్వరరావు,నాటకం,1940-01-01,1940,1,తెలుగు,ఆమంచర్లగోపాలరావు  బండాకనకలింగేశ్వరరావు  నాటకం  1940-01-01  1940  తెలుగు
66,ఇది వినాశకరమైనది,f.నారాయణమూర్తి,వేమూరిగగ్గయ్య,పురాణశాస్త్రం,1940-01-01,1940,1,తెలుగు,f.నారాయణమూర్తి  వేమూరిగగ్గయ్య  పురాణశాస్త్రం  1940-01-01  1940  తెలుగు
67,మాలతీ మాధవం,సి.హడావిడి,పుష్పవల్లి,జానపదసాహిత్యం,1940-01-01,1940,1,తెలుగు,సి.హడావిడి  పుష్పవల్లి  జానపదసాహిత్యం  1940-01-01  1940  తెలుగు
68,మీరాబాయి,బి.నరసింహారావు,గోవిందరాజులసుబ్బారావు,భక్తిప్రపత్తులు,1940-01-01,1940,1,తెలుగు,బి.నరసింహారావు  గోవిందరాజులసుబ్బారావు  భక్తిప్రపత్తులు  1940-01-01  1940  తెలుగు
69,సుమంగళి,బిఎన్రెడ్డి,"ఎ.ఎస్.గిరి,",సామాజిక,1940-01-01,1940,1,తెలుగు,"బిఎన్రెడ్డి  ఎ.ఎస్.గిరి,  సామాజిక  1940-01-01  1940  తెలుగు"
70,విశ్వ మోహిని,i.v.రావు,చిట్టోఆర్వి.నాగయాహెచ్,నాటకం,1940-01-01,1940,1,తెలుగు,i.v.రావు  చిట్టోఆర్వి.నాగయాహెచ్  నాటకం  1940-01-01  1940  తెలుగు
71,మినహాయింపులు,గూడవల్లిరామబ్రహ్మం,కల్యాణంరఘురామాయః,నాటకం,1941-01-01,1941,1,తెలుగు,గూడవల్లిరామబ్రహ్మం  కల్యాణంరఘురామాయః  నాటకం  1941-01-01  1941  తెలుగు
72,భక్తిమాల,హరిభాయ్రఘునాథ్‌జీదేశాయ్,బి.ర్.పంతులు,నాటకం,1941-01-01,1941,1,తెలుగు,హరిభాయ్రఘునాథ్‌జీదేశాయ్  బి.ర్.పంతులు  నాటకం  1941-01-01  1941  తెలుగు
73,చంద్రహాస,m.l.రంగయ్య,"జి.ఎన్.స్వామి,",జానపదసాహిత్యం,1941-01-01,1941,1,తెలుగు,"m.l.రంగయ్య  జి.ఎన్.స్వామి,  జానపదసాహిత్యం  1941-01-01  1941  తెలుగు"
74,చూడమని,p.k.రాజాశాండో,పుష్పవల్లి,నాటకం,1941-01-01,1941,1,తెలుగు,p.k.రాజాశాండో  పుష్పవల్లి  నాటకం  1941-01-01  1941  తెలుగు
75,దక్షయగానం,f.నారాయణమూర్తి,వేమూరిగగ్గయ్య,పురాణశాస్త్రం,1941-01-01,1941,1,తెలుగు,f.నారాయణమూర్తి  వేమూరిగగ్గయ్య  పురాణశాస్త్రం  1941-01-01  1941  తెలుగు
76,దేవత,బిఎన్రెడ్డి,చిట్టోఆర్వి.నాగయాహెచ్,నాటకం,1941-01-01,1941,1,తెలుగు,బిఎన్రెడ్డి  చిట్టోఆర్వి.నాగయాహెచ్  నాటకం  1941-01-01  1941  తెలుగు
77,చట్టబద్ధమైన భార్య,బి.హడావిడి,శాంతకుమారి,నాటకం,1941-01-01,1941,1,తెలుగు,బి.హడావిడి  శాంతకుమారి  నాటకం  1941-01-01  1941  తెలుగు
78,మహాత్మా గాంధీ,ఎ.కె.చెట్టియార్,"బెజవాడరాజారత్నం,",డాక్యుమెంటరీ,1941-01-01,1941,1,తెలుగు,"ఎ.కె.చెట్టియార్  బెజవాడరాజారత్నం,  డాక్యుమెంటరీ  1941-01-01  1941  తెలుగు"
79,పార్వతీ కళ్యాణం,ఘంటసాలబలరామయ్య,"పారేపల్లిసుబ్బారావు,",భక్తిప్రపత్తులు,1941-01-01,1941,1,తెలుగు,"ఘంటసాలబలరామయ్య  పారేపల్లిసుబ్బారావు,  భక్తిప్రపత్తులు  1941-01-01  1941  తెలుగు"
80,తల్లి ప్రేమ,జ్యోతిష్సిన్హా,సి.స్.ర్.ఆంజనేయులు,నాటకం,1941-01-01,1941,1,తెలుగు,జ్యోతిష్సిన్హా  సి.స్.ర్.ఆంజనేయులు  నాటకం  1941-01-01  1941  తెలుగు
81,తారా శశాంకమ్,ఆర్.ఎస్.కాంతి,పి.సూరిబాబు,పురాణశాస్త్రం,1941-01-01,1941,1,తెలుగు,ఆర్.ఎస్.కాంతి  పి.సూరిబాబు  పురాణశాస్త్రం  1941-01-01  1941  తెలుగు
82,తరుమారు,లేదా.జగన్నాథం,"పరబ్రహ్మశ్రీ,హేమలత,డ్ర్.శివరామకృష్ణయ్య",నాటకం,1941-01-01,1941,1,తెలుగు,"లేదా.జగన్నాథం  పరబ్రహ్మశ్రీ,హేమలత,డ్ర్.శివరామకృష్ణయ్య  నాటకం  1941-01-01  1941  తెలుగు"
83,తెనాలి రామకృష్ణ,h.m.రెడ్డి,"ఎస్.సంగీతస్థాయియొక్కఐదవగమనిక.లక్ష్మణస్వయంగా,పేరేపల్లిసుబ్బారావు,పి.రామతిలకం,పి.అనసూయ,",జానపదసాహిత్యం,1941-01-01,1941,1,తెలుగు,"h.m.రెడ్డి  ఎస్.సంగీతస్థాయియొక్కఐదవగమనిక.లక్ష్మణస్వయంగా,పేరేపల్లిసుబ్బారావు,పి.రామతిలకం,పి.అనసూయ,  జానపదసాహిత్యం  1941-01-01  1941  తెలుగు"
84,బబ్రువాహన్,ఆర్.ఎస్.కాంతి,కె.ఎస్.ప్రకాశరావు,నాటకం,1941-01-01,1942,1,తెలుగు,ఆర్.ఎస్.కాంతి  కె.ఎస్.ప్రకాశరావు  నాటకం  1941-01-01  1942  తెలుగు
85,బాల నాగమ్మ,సి.హడావిడి,కాంచనమాల,జానపదసాహిత్యం,1941-01-01,1942,1,తెలుగు,సి.హడావిడి  కాంచనమాల  జానపదసాహిత్యం  1941-01-01  1942  తెలుగు
86,భక్తే,k.v.రెడ్డి,చిట్టోఆర్వి.నాగయాహెచ్,జీవితచరిత్ర,1941-01-01,1942,1,తెలుగు,k.v.రెడ్డి  చిట్టోఆర్వి.నాగయాహెచ్  జీవితచరిత్ర  1941-01-01  1942  తెలుగు
87,దీన్ స్నేహితుడు,m.l.టాండన్,c.h.నారాయణరావు,నాటకం,1941-01-01,1942,1,తెలుగు,m.l.టాండన్  c.h.నారాయణరావు  నాటకం  1941-01-01  1942  తెలుగు
88,ఘరానా దొంగ,h.m.రెడ్డి,ఎల్.v.సమర్పణ,నాటకం,1941-01-01,1942,1,తెలుగు,h.m.రెడ్డి  ఎల్.v.సమర్పణ  నాటకం  1941-01-01  1942  తెలుగు
89,జీవన ముక్తి,t.v.నీలకంఠన్,పి.సూరిబాబు,భక్తిప్రపత్తులు,1941-01-01,1942,1,తెలుగు,t.v.నీలకంఠన్  పి.సూరిబాబు  భక్తిప్రపత్తులు  1941-01-01  1942  తెలుగు
