Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year
Doshi,VBLV Prasad,,Raj-Koti,Ramki,,,1992
Gang War,Kodi Ramakrishna,,,"Vinod Kumar, Ashok Kumar, ",,,1992
Gharana Mogudu,K. Raghavendra Rao,,M. M. Keeravani,Chiranjeevi,,,1992
Golmaal Govindam,Tatineni Rama Rao,,Chakravarthy,Rajendra Prasad,,,1992
Gowramma,Rama Narayanan,,,Nizhalgal Ravi,,,1992
Jaganaddam and Sons,Anil Kumar,,,Suresh,,,1992
Joker Mama Super Alludu,K. Vasu,,,Brahmanandam,,,1992
Kala Rathrilo Kanne Pilla,Raj Kamal,,C. Sathyam,"Sharath, Abhilasha, ",,,1992
Killer,Fazil,,Ilaiyaraaja,Akkineni Nagarjuna,,,1992
Lathi,Gunasekhar,,,Prashanth Thiagarajan,,,1992
Madhavayya Gari Manavadu,Muthyala Subbaiah,,,Harish Kumar,,,1992
Mother India,T. V. Ramana Reddy,,,Jagapathi Babu,,,1992
 Mogudu Pellala Dongata,Relangi Narasimha Rao,,Raj-Koti,Naresh,,,1992
Moratodu Naa Mogudu,A. Kodandarami Reddy,,Ilaiyaraaja,Rajasekhar,,,1992
Naga Kanya,Chola Rajan,,,Suresh,,,1992
Naga Bala,Rama Narayanan,,Sankar Ganesh,Baby Shamili,,,1992
Nani,Krishna Mohan Reddy,,Chakravarthy,Charanraj,,,1992
Parvatalu Panakalu,Muthyala Subbaiah,,Ramesh,S. P. Balasubrahmanyam,,,1992
Pattudala,G. B. Shekar,,Ilaiyaraaja,Suman,,,1992
Peddarikam,A. M. Rathnam,,Raj-Koti,Jagapati Babu,,,1992
Pellam Chatu Mogudu,Relangi Narasimha Rao,,J. V. Raghavulu,Dasari Narayana Rao,,,1992
Pellam Chebithe Vinali,Kodi Ramakrishna,,Chakravarthy,Harish Kumar,,,1992
Pellante Noorella Panta,Muthyala Subbaiah,,,S. P. Balasubrahmanyam,,,1992
Pellaniki Premalekha Priyuraliki Subhalekha,Relangi Narasimha Rao,,J. V. Raghavulu,Rajendra Prasad,,,1992
Pelli Neeku Sukham Naaku,P. N. Ramchandra Rao,,Raj-Koti,Naresh,,,1992
Police Brothers,Mohan Gandhi,,,Vinod Kumar,,,1992
Pranadaata,Mohan Gandhi,,Raj-Koti,Akkineni Nageswara Rao,,,1992
Prema Drohi,Kondaveeti Satyam,,,Brahmanandam,,,1992
Prema Shikharam,Satya Gopla Ram,,,Prashanth,,,1992
Prema Vijeta,K. Sadasiva Rao,,Ilaiyaraaja,Suresh,,,1992
President Gari Pellam,A. Kodandarami Reddy,,M. M. Keeravani,Akkineni Nagarjuna,,,1992
Priyathama,Geetha Krishna,,Ilaiyaraaja,"Raghu, ",,,1992
Public Rowdy,Sagar,,Raj-Koti,Bhanuchander,,,1992
Raguluthunna Bharatham,Allani Sridhar,,,ANR,,,1992
Rakta Tarpanam,Krishna Ghattamaneni,,Bappi Lahiri,Krishna,,,1992
Rowdy Inspector,B. Gopal,,Bappi Lahiri,Balakrishna Nandamuri,,,1992
Sahasam,Suresh Krissna,,,Jagapathi Babu,,,1992
Samrat Ashoka,NTR,,,"NTR, ",,,1992
Seetapathi Chalo Tirupathi,Vijaya Bapineedu,,,Rajendra Prasad,,,1992
Seetharatnam Gari Abbayi,E. V. V. Satyanarayana,,,Vanisri,,,1992
Subba Rayudi Pelli,Dasari Narayana Rao,,,Rajendra Prasad,,,1992
Sundarakanda,K. Raghavendra Rao,,M. M. Keeravani,Daggubati Venkatesh,,,1992
Swati Kiranam,K. Vishwanath,,K. V. Mahadevan,Mammootty,,,1992
Teja,N. Hari Babu,,,Master Tarun,,,1992
Valu Jada Tolu Beltu,Vijaya Bapineedu,,,Rajendra Prasad,,,1992
Yagnam,Gutha Ramineedu,,,P. L. Narayana,,,1992
Aagraham,K. S. Ravikumar,,,Rajasekhar,,,1993
Aadarsham,,,,Jagapathi Babu,,,1993
Aasayam,Mohan Gandhi,,,Vijayashanti,,,1993
Abbaigaru,E. V. V. Satyanarayana,,M. M. Keeravani,Daggubati Venkatesh,,,1993
Akka Pettanam Chelleli Kapuram,Dasari Narayana Rao,,,Rajendra Prasad,,,1993
Allari Alludu,A. Kodandarami Reddy,,M. M. Keeravani,Akkineni Nagarjuna,,,1993
Allari Priyudu,K. Raghavendra Rao,,M. M. Keeravani,Rajasekhar,,,1993
Amma Koduku,Vadde Ramesh,,Ilaiyaraaja,Rajasekhar,,,1993
Bangaru Bullodu,Raviraja Pinisetty,,Raj-Koti,Nandamuri Balakrishna,,,1993
Bava Bavamaridi,Sarath,,Raj-Koti,Suman,,,1993
Chirunavvula Varamistava,N. H. Chandra,,,Vikram,,,1993
Chittemma Mogudu,Kodi Ramakrishna,,M. M. Keeravani,Mohan Babu,,,1993
Detective Narada,Vamshi,,Ilaiyaraaja,Mohan Babu,,,1993
Evandi Aavida Vachindi,E. V. V. Satyanarayana,,,Sobhan Babu,,,1993
Gaayam,Ram Gopal Varma,,,Jagapathi Babu,,,1993
Jamba Lakidi Pamba,E. V. V. Satyanarayana,,Raj-Koti,Naresh,,,1993
Joker,Vamshi,,Vamshi,Rajendra Prasad,,,1993
Kannayya Kittayya,Relangi Narasimha Rao,,"
",Rajendra Prasad,,,1993
Kondapalli Raja,Raviraja Pinisetty,,M. M. Keeravani,Daggubati Venkatesh,,,1993
Kongu Chatu Krishnudu,K. Ajay Kumar,,Sri,Naresh,,,1993
Kunti Putrudu,Dasari Narayana Rao,,Ilaiyaraaja,Mohan Babu,,,1993
Mahanadi,Santhana Bharathi,,Ilaiyaraaja,Kamal Hassan,,,1993
Major Chandrakanth,K. Raghavendra Rao,,M. M. Keeravani,N.T. Rama Rao,,,1993
Manavarali Pelli,P N Ramachandra Rao,,Vidyasagar,Harish,,,1993
Matru Devo Bhava,K. Ajay Kumar,,,Madhavi,,,1993
Mayalodu,S. V. Krishna Reddy,,S. V. Krishna Reddy,Rajendra Prasad,,,1993
Mechanic Alludu,B. Gopal,,Raj-Koti,Chiranjeevi,,,1993
Money,Shiva Nageswara Rao,,Sri,J. D. Chakravarthy,,,1993
Mister Pellam,Bapu,,M. M. Keeravani,Rajendra Prasad,,,1993
Mutha Mestri,A. Kodandarami Reddy,,Raj-Koti,Chiranjeevi,,,1993
Nippu Ravva,A. Kodandarami Reddy,,Bappi Lahiri,Balakrishna Nandamuri,,,1993
One By Two,Shiva Nageswara Rao,,,Meka Srikanth,,,1993
Parugo Parugu,Relangi Narasimha Rao,,Raj-Koti,Rajendra Prasad,,,1993
Paruvu Pratishta,V. C. Guhanathan,,Raj-Koti,"Suman, Suresh, Malasri, Lakshmi, Srividya, Raj Kumar, Srinath",,,1993
Pekata Papa Rao,Y Nageshwara Rao,,Koti,Rajendra Prasad,,,1993
Pillalu Diddina Kapuram,Perala,,,Jagapathi Babu,,,1993
Prema Pusthakam,Gollapudi Srinivas,,,Ajith Kumar,,,1993
Rajendrudu Gajendrudu,S. V. Krishna Reddy,,S. V. Krishna Reddy,Rajendra Prasad,,,1993
Rajeswari Kalyanam,Kranthi Kumar,,,ANR,,,1993
Rakshana,Uppalapati Narayana Rao,,M. M. Keeravani,Akkineni Nagarjuna,,,1993
Ratha Sarathi,Sarath,,,ANR,,,1993
Rendilla Poojari,T Prabhakar,,M. M. Keeravani,Suman,,,1993
Rowdy Annayya,Tammareddy Bharadwaja,,Action,Ghattamaneni Krishna,,,1993
Srinatha Kavi Sarvabhowmudu,Bapu,,,N. T. Rama Rao,,,1993
Tholi Muddhu,K. Reddy,,,Divya Bharti,,,1993
Topi Raja Sweety Roja,N Shiva Prasad,,Rajendra Prasad,Rajendra Prasad,,,1993
Varasudu,E. V. V. Satyanarayana,,M. M. Keeravani,Krishna,,,1993
Aame,E. V. V. Satyanarayana,,Vidyasagar,Srikanth,,,1994
Aavesham,Kodi Ramakrishna,,M. M. Keeravani,Rajasekhar,,,1994
Alibaba Aradajanu Dongalu,E. V. V. Satyanarayana,,Vidyasagar,Rajendra Prasad,,,1994
Allari Premikudu,K. Raghavendra Rao,,M. M. Keeravani,Jagapathi Babu,,,1994
Allarodu,K. Ajay Kumar,,,Rajendra Prasad,,,1994
Ammayi Kapuram,Muthyala Subbaiah,,,Ali,,,1994
Angarakshakudu,Joshi(Malayalam),,M. M. Keeravani,Rajasekhar,,,1994
Anna,Muthyala Subbaiah,,M. M. Keeravani,Rajasekhar,,,1994
Bangaru Kutumbam,Dasari Narayana Rao,,Raj-Koti,Akkineni Nageswara Rao,,,1994
Bhairava Dweepam,Singeetam Srinivasa Rao,,Madavapeddi Suresh,Nandamuri Balakrishna,,,1994
Bhale Pellam,Kranthi Kumar,,Deva,Jagapathi Babu,,,1994
Bobbili Simham,A. Kodandarami Reddy,,M. M. Keeravani,Nandamuri Balakrishna,,,1994
Brahmachari Mogudu,Relangi Narasimha Rao,,Raj-Koti,Rajendra Prasad,,,1994
Captain,Kodi Ramakrishna,,,R. Sarathkumar,,,1994
Criminal,Mahesh Bhatt,,M. M. Keeravani,Akkineni Nagarjuna,,,1994
Gandeevam,Priyadarshan,,M. M. Keeravani,Akkineni Nageswara Rao,,,1994
Gangmaster,B. Gopal,,,Rajasekhar,,,1994
Gharana Alludu,Muppalaneni Shiva,,M. M. Keeravani,Krishna,,,1994
Govinda Govinda,Ram Gopal Varma,,Raj-Koti,Nagarjuna Akkineni,,,1994
Hello Brother,E. V. V. Satyanarayana,,Raj-Koti,Nagarjuna Akkineni,,,1994
Jailor Gaari Abbayi,Sarath Babu,,,Krishnam Raju,,,1994
Kooturu,Srinivasa Rao,,Nalluri Sudheer Kumar,Srikanth,,,1994
Lucky Chance,Siva Nageswara Rao,,,Rajendra Prasad,,,1994
M Dharmaraju M.A.,Ravi Raja Pinisetty,,Raj-Koti,Mohan Babu,,,1994
Madam,Singeetam Srinivasa Rao,,,Rajendra Prasad,,,1994
Maga Rayudu,E. V. V. Satyanarayana,,,Karthik,,,1994
Muddula Priyudu,K. Raghavendra Rao,,M. M. Keeravani,Daggubati Venkatesh,,,1994
Mugguru Monagallu,K. Raghavendra Rao,,Vidyasagar,Chiranjeevi,,,1994
Number One,S. V. Krishna Reddy,,S. V. Krishna Reddy,Krishna,,,1994
Palnati Pourusham,Muthyala Subbaiah,,A. R. Rahman,Krishnam Raju,,,1994
Pelli Koduku,Bapu,,M. M. Keeravani,Naresh,,,1994
Pokkiri Raja,A. Kodandarami Reddy,,Raj-Koti,Daggubati Venkatesh,,,1994
Punyabhoomi Naa Desam,A. Kodandarami Reddy,,Bappi Lahiri,Mohan Babu,,,1994
S. P. Parasuram,Raviraja Pinisetty,,M. M. Keeravani,Chiranjeevi,,,1994
Shubhalagnam,S. V. Krishna Reddy,,S. V. Krishna Reddy,Jagapathi Babu,,,1994
Super Police,K. Muralimohan Rao,,A. R. Rahman,Daggubati Venkatesh,,,1994
Teerpu,Uppalapati Narayana Rao,,,Akkineni Nageswara Rao,,,1994
Top Hero,S. V. Krishna Reddy,,S. V. Krishna Reddy,Balakrishna,,,1994
Vaddu Bava Thappu,K. Ajay Kumar,,,Rajendra Prasad,,,1994
Yamaleela,S. V. Krishna Reddy,,S. V. Krishna Reddy,Satyanarayana Kaikala,,,1994
Aadaalla Majaka,Muthyala Subbaiah,,,Vikram,,,1995
Aayanaki Iddaru,E. V. V. Satyanarayana,,,Jagapati Babu,,,1995
Adavi Dora,K. Sadasivarao,,,Sobhan Babu,,,1995
Alluda Majaka,E. V. V. Satyanarayana,,Koti,Chiranjeevi,,,1995
Amma Donga,Sagar,,Raj-Koti,Krishna,,,1995
Ammoru,Kodi Ramakrishna,,Sri,Suresh,,,1995
Aunty,Mouli,,,Jayasudha,,,1995
Ayanaku Iddaru,E. V. V. Satyanarayana,,Koti,Jagapathi Babu,,,1995
Bhale Bullodu,Sarath Babu,,,Jagapathi Babu,,,1995
Big Boss,Vijaya Bapineedu,,Raj-Koti,Chiranjeevi,,,1995
Chilakapachcha Kaapuram,Kodi Ramakrishna,,,Jagapathi Babu,,,1995
Criminal,K. S. Rama Rao,,M. M. Keeravani,Nagarjuna Akkineni,,,1995
Ghatotkachudu,S. V. Krishna Reddy,,S. V. Krishna Reddy,Satyanarayana Kaikala,,,1995
Gharana Bullodu,K. Raghavendra Rao,,M. M. Keeravani,Akkineni Nagarjuna,,,1995
God Father,Kodi Ramakrishna,,,Vinod Kumar,,,1995
Ketu Duplicate,Relangi Narasimha Rao,,Koti,Rajendra Prasad,,,1995
Lingababu Love Story,Vamsy,,,Rajendra Prasad,,,1995
Maato Pettukoku,A. Kodandarami Reddy,,Madhavapeddi Suresh,Nandamuri Balakrishna,,,1995
Maya Bazaar,Dasari Narayana Rao,,,ANR,,,1995
Money Money,Shiva Nageswara Rao,,K. Srinivas,Jagapathi Babu,,,1995
Mounam,C. Umamaheshwara Rao,,,Arvind Swamy,,,1995
Mummy Mee Aayanochadu,K. Ajay Kumar,,,Rajendra Prasad,,,1995
Nirantharam,,,,Raghubir Yadav,,,1995
Pedarayudu,Raviraja Pinisetty,,Koti,Mohan Babu,,,1995
Pelli Sandadi,K. Raghavendra Rao,,M. M. Keeravani,Srikanth,,,1995
Pokiri Raja,A. Kodandarami Reddy,,,Daggubati Venkatesh,,,1995
Punya Bhoomi Naa Desam,A. Kodandarami Reddy,,,Mohan Babu,,,1995
Raja Simham,,,,Rajasekhar,,,1995
Rikshavodu,Kodi Ramakrishna,,Raj-Koti,Chiranjeevi,,,1995
Sankalpam,A. M. Rathnam,,,Jagapati Babu,,,1995
Sisindri,Shiva Nageswara Rao,,Raj,Nagarjuna,,,1995
Sogasu Chuda Taramaa?,Gunasekhar,,Bharathwaj,Naresh,,,1995
Stri,K. S. Sethumadhavan,,,Rohini,,,1995
Subha Sankalpam,K. Vishwanath,,M. M. Keeravani,Kamal Haasan,,,1995
Subhamastu,Bhimaneni Srinivasa Rao,,,Jagapati Babu,,,1995
Taj Mahal,Muppulaleni Siva,,M. M. Sreelekha,Srikanth,,,1995
Vajram,S. V. Krishna Reddy,,,Akkineni Nagarjuna,,,1995
Adirindi Alludu,E. V. V. Satyanarayana,,M. M. Keeravani,Mohan Babu,,,1996
Akka! Bagunnava?,Mouli,,Koti,Vikram,,,1996
Akkada Ammayi Ikkada Abbayi,E. V. V. Satyanarayana,,Koti,Pawan Kalyan,,,1996
Akkum Bakkum,K. Ram Gopal,,Vidyasagar,Ali,,,1996
Amma Ammani Choodalanivundi,Sagar,,Vandemataram Srinivas,"Vinod Kumar, ",,,1996
Amma Durgamma,Vandemataram Srinivas,,Somayajula Murthy,Shashikumar,,,1996
Bala Ramayanam,Guna Sekhar,,Madavapeddi Suresh,Jr. NTR,,,1996
Bombay Priyudu,K. Raghavendra Rao,,M. M. Keeravani,J. D. Chakravarthy,,,1996
Chinnabbayi,K. Vishwanath,,Illyaraja,Daggubati Venkatesh,,,1996
Deyyam,Ram Gopal Varma,,Vishwanatha Satyanarayana,J. D. Chakravarthy,,,1996
Dharma Chakram,Suresh Krishna,,M. M. Sreelekha,Daggubati Venkatesh,,,1996
Drohi,P. C. Sreeram,,Deva,Kamal Hassan,,,1996
Family,Vijaya Bapineedu,,,Rajendra Prasad,,,1996
Gulabi,Krishna Vamshi,,Shashi Pritam,J. D. Chakravarthy,,,1996
Gunshot,S. V. Krishna Reddy,,,Ali,,,1996
Intlo Illalu Vantintlo Priyuralu,E. V. V. Satyanarayana,,Koti,Daggubati Venkatesh,,,1996
Jabilamma Pelli,A. Kodandarami Reddy,,M. M. Keeravani,Jagapathi Babu,,,1996
Ladies Doctor,Ramu,,,Rajendra Prasad,,,1996
Little Soldiers,Gangaraju Gunnam,,Sri,Baladitya,,,1996
Maa Aavida Collector,Kodi Ramakrishna,,Vandemataram Srinivas,Jagapathi Babu,,,1996
Maavichiguru,S. V. Krishna Reddy,,S. V. Krishna Reddy,Jagapathi Babu,,,1996
Merupu,Gopichand Nadella,,Ramani Bharadwaja,Vikram,,,1996
Mrugam,Rudrajj Suresh Varma,,Raj,J. D. Chakravarthy,,,1996
Ninne Pelladata,Krishna Vamsi,,Sandeep Chowta,Nagarjuna Akkineni,,,1996
Ooha,Sivala Prabhakar,,Vidya Sagar,Vikram,,,1996
Pavitra Bandham,Muthyala Subbaiah,,M. M. Keeravani,Daggubati Venkatesh,,,1996
Pittala Dora,Sana Yadireddy,,Ramani Bharadwaja,Aali,,,1996
Rambantu,Bapu,,M. M. Keeravani,Rajendra Prasad,,,1996
Ramudochadu,A. Kodandarami Reddy,,Raj,Akkineni Nagarjuna,,,1996
Rayudugaru Nayudugaru,Dasari Narayana Rao,,M. M. Keeravani,ANR,,,1996
Sahasa Veerudu Sagara Kanya,K. Raghavendra Rao,,M. M. Keeravani,Daggubati Venkatesh,,,1996
Sarada Bullodu,Raviraja Pinisetty,,Koti,Daggubati Venkatesh,,,1996
Sri Krishnarjuna Vijayam,Singeetam Srinivasa Rao,,Madavapeddi Suresh,Balakrishna,,,1996
Srikaram,C. Uma Maheswara Rao,,,Jagapati Babu,,,1996
Vamsanikokkadu,Sarath,,Koti,Balakrishna,,,1996
Vinodam,S. V. Krishna Reddy,,,Meka Srikanth,,,1996
Aahvaanam,S. V. Krishna Reddy,,S. V. Krishna Reddy,Srikanth,,,1997
Aaro Pranam,K. Veery,,K. Veeru,Vineeth,,,1997
Abbaigari Pelli,Sharath,,Koti,Suman,,,1997
Anaganaga Oka Roju,Ram Gopal Varma,,Sri,J. D. Chakravarthy,,,1997
Annamayya,K. Raghavendra Rao,,M. M. Keeravani,Nagarjuna Akkineni,,,1997
Chilakkottudu,E. V. V. Satyanarayana,,Koti,Jagapati Babu,,,1997
Chinnabbayi,K. Viswanath,,Ilayaraja,Daggubati Venkatesh,,,1997
Collector Garu,B. Gopal,,Koti,Mohan Babu,,,1997
Devudu,Raviraja Pinisetty,,Sirpy,Balakrishna,,,1997
Dongaata,Kodi Ramakrishna,,Ramani Bhardawaj,Jagapati Babu,,,1997
Egire Paavurama,S. V. Krishna Reddy,,S. V. Krishna Reddy,Srikanth,,,1997
Gokulamlo Seeta,Muthyala Subbaiah,,Koti,Pawan Kalyan,,,1997
Hitler,Muthyala Subbaiah,,Koti,Chiranjeevi,,,1997
Jai Bajarangabhali,T. Prabhakar,,Koti,Rajendra Prasad,,,1997
Kurralla Rajyam,Boyapati Kameswara Rao,,Vandemataram. Sreenivas,Vikram,,,1997
Maa Nannaku Pelli,E. V. V. Satyanarayana,,Koti,Krishnam Raju,,,1997
Mama Bagunnava,Kodi Ramakrishna,,Vidya Sagar,Rajendra Prasad,,,1997
Master,Suresh Krishna,,Deva,Chiranjeevi,,,1997
Muddula Mogudu,A. Kodandarami Reddy,,Koti,Balakrishna,,,1997
Oka Chinna Maata,Muthyala Subbaiah,,Ramani Bhardawaj,Jagapati Babu,,,1997
Omkaram,Upendra,,Hamsalekha,Rajasekhar,,,1997
Osey Ramulamma,Dasari Narayana Rao,,Vandemataram Srinivas,Vijayashanti,,,1997
Peddannayya,Sharat,,Koti,Balakrishna,,,1997
Pelli,Kodi Ramakrishna,,S. A. Rajkumar,"Vadde Naveen, ",,,1997
Pelli Chesukundam,Muthyala Subbaiah,,Koti,Venkatesh,,,1997
Pelli Pandiri,Kodi Ramakrishna,,Vandemataram Srinivas,Jagapati Babu,,,1997
Preminchukundam Raa,Jayanth C. Paranjee,,Mahesh Mahadevan,Daggubati Venkatesh,,,1997
Priya O Priya,Muppulaneni Shiva,,Koti,"Vadde Naveen, ",,,1997
Priyaragalu,A. Kodandarami Reddy,,M. M. Keeravani,Jagapati Babu,,,1997
Sindhooram,Krishna Vamsi,,Sri Kommineni,Ravi Teja,,,1997
Subhakankshalu,Bhimaneni Srinivasa Rao,,S. A. Rajkumar,Jagapathi Babu,,,1997
Surya Putrulu,C. Umamaheswara Rao,,M. M. Keeravani,Mammootty,,,1997
Suswagatham,Bhimaneni Srinivasa Rao,,S. A. Rajkumar,Pawan Kalyan,,,1997
Taraka Ramudu,R. V. Udayakumar,,Koti,Srikanth,,,1997
Thaali,E. V. V. Satyanarayana,,Vidya Sagar,Srikanth,,,1997
Veedevadandi Babu,E. V. V. Satyanarayana,,Sirpy,Mohan Babu,,,1997
Ugadi,S. V. Krishna Reddy,,S. V. Krishna Reddy,S. V. Krishna Reddy,,,1997
Aahaa..!,Suresh Krishna,,Vandemataram Srinivas,Jagapathi Babu,,,1998
Aavida Maa Aavide,E. V. V. Satyanarayana,,Sri,Nagarjuna Akkineni,,,1998
Abhishekam,S. V. Krishna Reddy,,S. V. Krishna Reddy,"S. V. Krishna Reddy, ",,,1998
All Rounder,T. Prabhakar,,Veena Pani,Rajendra Prasad,,,1998
Andaru Herole,K. Umakanth,,Vijay,Ali,,,1998
Antahpuram,Krishna Vamsi,,Ilaiyaraaja,Soundarya,,,1998
Auto Driver,Suresh Krishna,,Deva,Nagarjuna Akkineni,,,1998
Ayanagaru,N Satya,,VidyaSagar,Srikanth,,,1998
Bavagaru Bagunnara?,Jayanth C. Paranjee,,Mani Sharma,Chiranjeevi,,,1998
Chandralekha,Krishna Vamsi,,Sandeep Chowta,Nagarjuna Akkineni,,,1998
Choodalani Vundi,Gunasekhar,,Mani Sharma,Chiranjeevi,,,1998
Daddy Daddy,Kodi Ramakrishna,,Vandemataram Srinivas,ANR,,,1998
Deergha Sumangali Bhava,S. V. Krishna Reddy,,S. V. Krishna Reddy,Rajasekhar,,,1998
Ganesh,Tirupathi Swamy,,Mani Sharma,Daggubati Venkatesh,,,1998
Gillikajjalu,Muppulaleni Siva,,Koti,Srikanth,,,1998
Kante Koothurne Kanu,Dasari Narayana Rao,,Vandemataram Srinivas,Dasari Narayana Rao,,,1998
Kanyadanam,E. V. V. Satyanarayana,,Koti,Upendra,,,1998
Love Story 1999,K. Raghavendra Rao,,Deva,Prabhu Deva,,,1998
Maavidaakulu,E. V. V. Satyanarayana,,Koti,Jagapati Babu,,,1998
Mee Aayana Jagratha,Muthyala Ramadas,,,Rajendra Prasad,,,1998
Navvulata,Gopichand Nadella,,M.M. Srilekha,Rajendra Prasad,,,1998
Nenu Premisthunnanu,E. V. V. Satyanarayana,,Sirpy,J. D. Chakravarthy,,,1998
Ooyala,S. V. Krishna Reddy,,S. V. Krishna Reddy,Meka Srikanth,,,1998
Pandaga,Sarath,,M.M. Keeravani,ANR,,,1998
Paradesi,K. Raghavendra Rao,,M.M. Keeravani,"Viswas, Madhav, Tanooja",,,1998
Pavitra Prema,Muthyala Subbaiah,,Koti,Nandamuri Balakrishna,,,1998
Pelli Kanuka,Kodi Ramakrishna,,M.M.Keeravani,Jagapati Babu,,,1998
Pelli Peetalu,S. V. Krishna Reddy,,S. V. Krishna Reddy,Jagapati Babu,,,1998
Premante Idera,Jayanth C. Paranjee,,Ramana Gogula,Daggubati Venkatesh,,,1998
Prema Pallaki,Sana Yadireddy,,Krishna Neeraj,Suresh,,,1998
Rana,A. Kodandarami Reddy,,Koti,Nandamuri Balakrishna,,,1998
Raayudu,Ravi Raja Pinisetty,,Koti,Mohan Babu,,,1998
Sivayya,Suresh Varma,,,Rajasekhar,,,1998
Sri Sita Ramula Kalyanam Chootamu Raarandi,Y. V. S. Chowdary,,M.M.Keeravani,ANR,,,1998
Srimathi Vellostha,K. Raghavendra Rao,,M. M. Keeravani,Jagapati Babu,,,1998
Subhavartha,P. N. Ramachandra Rao,,Koti,Arjun,,,1998
Sultan,Sarath,,Koti,Nandamuri Balakrishna,,,1998
Suprabhatam,Bhimaneni Srinivasa Rao,,Vandemataram Srinivas,Srikanth,,,1998
Suryavamsam,Bhimaneni Srinivasa Rao,,S. A. Rajkumar,Daggubati Venkatesh,,,1998
Suryudu,Muthyala Subbaiah,,,Rajasekhar,,,1998
Tholi Prema,A. Karunakaran,,Deva,Pawan Kalyan,,,1998
Ulta Palta,Relangi Narasimha Rao,,M.M.Srilekha,Rajendra Prasad,,,1998
W/o V. Vara Prasad,Vamsy,,M.M.Keeravani,Vineeth,,,1998
Aavide Shyamala,Kodi Ramakrishna,,Madavapeddi Suresh,Prakash Raj,,,1999
Alludugaaru Vachcharu,Ravi Raja Pinisetty,,M.M.Keeravani,Jagapati Babu,,,1999
Ammo Polisollu,,,,"Siva Krishna, Ragini",,,1999
Anaganaga Oka Ammai,Ramesh Sarangan,,Mani Sharma,Srikanth,,,1999
Asala Sandadi,Anil Kishore,,Ramani Bharadwaj,Ali,,,1999
Bobbili Vamsam,K. S. Adhyaman,,M. M. Srilekha,Rajasekhar,,,1999
Chala Bagundi,E. V. V. Satyanarayana,,Koti,Srikanth,,,1999
Chinni Chinni Aasa,,,Raj,Rajendra Prasad,,,1999
Devi,Kodi Ramakrishna,,Devi Sri Prasad,Prema,,,1999
Dollar Dreams,Sekhar Kammula,,,Satya Krishnan,,,1999
English Pellam East Godavari Mogudu ,Doraswamy Raju,,Mani Sharma,Srikanth,,,1999
Harischandraa,Thulasi Kumar,,Agosh,J. D. Chakravarthy,,,1999
Hello Yama,Pavitran,,Vandemataram Srinivas,Suresh,,,1999
Iddaru Mitrulu,K. Raghavendra Rao,,Mani Sharma,Chiranjeevi,,,1999
Kaama,Ashok Kumar,,Adityan,"Vishal, Sunila, Urvashi",,,1999
Krishna Babu,Muthyala Subbaiah,,Koti,Nandamuri Balakrishna,,,1999
Maa Balaji,Kodi Ramakrishna,,Vandemataram Srinivas,"Vadde Naveen, ",,,1999
Manasichi Choodu,Suresh Varma,,Mani Sharma,"Vadde Naveen, ",,,1999
Manasulo Maata,S. V. Krishna Reddy,,S. V. Krishna Reddy,Jagapati Babu,,,1999
Manavudu Danavudu,,,S. A. Rajkumar,Krishna,,,1999
Manikyam,Mutyala Subbaiah,,S. A. Rajkumar,Srikanth,,,1999
Maya,Rama Narayanan,,,Napolean,,,1999
Mechanic Mavayya,Rajendra Singh,,M. M. Keeravani,Rajasekhar,,,1999
Naa Hrudayamlo Nidurinche Cheli,AVS Adi Narayana,,Sri,"Vadde Naveen, ",,,1999
Nee Kosam,Srinu Vaitla,,R. P. Patnaik,Ravi Teja,,,1999
Neti Gandhi,E. V. V. Satyanarayana,,S. A. Rajkumar,Rajasekhar,,,1999
Panchadara Chilaka,Kodi Ramakrishna,,S. A. Rajkumar,Srikanth,,,1999
Pilla Nachindi,E. V. V. Satyanarayana,,Koti,Srikanth,,,1999
Pedda Manushulu,Boyina Subba Rao,,Eeshwar,Suman,,,1999
Prema Katha,Ram Gopal Varma,,Sandeep Chowta,Sumanth,,,1999
Premaku Velayera,S. V. Krishna Reddy,,S. V. Krishna Reddy,J. D. Chakravarthy,,,1999
Preminche Manasu,AVS Adi Narayana,,S. A. Rajkumar,Vadde Naveen,,,1999
Preyasi Raave,Chandra Mahesh,,M. M. Srilekha,Srikanth,,,1999
Raja,Muppulaneni Siva,,S. A. Rajkumar,Daggubati Venkatesh,,,1999
Raja Kumarudu,K. Raghavendra Rao,,Mani Sharma,Mahesh Babu,,,1999
Rajasthan,R. K. Selvamani,,Ilayaraja,Sharath Kumar,,,1999
Ramasakkanodu,Sagar,,Koti,Suman,,,1999
Ravoyi Chandamama,Jayanth C. Paranjee,,Mani Sharma,Nagarjuna Akkineni,,,1999
Sambayya,K. S. Nageswara Rao,,Vandemataram Srinivas,Srihari,,,1999
Samarasimha Reddy,B. Gopal,,Mani Sharma,Nandamuri Balakrishna,,,1999
Samudram,Krishna Vamsi,,Shashi Pritham,Jagapati Babu,,,1999
Seenu,Sashi,,Mani Sharma,Daggubati Venkatesh,,,1999
Seetharama Raju,YVS Chowdhary,,M. M. Keeravani,Nagarjuna Akkineni,,,1999
Sneham Kosam,K. S. Ravikumar,,S. A. Rajkumar,Chiranjeevi,,,1999
Speed Dancer,Muppalaneni Shiva,,,Raghava Lawrence,,,1999
